datetime,id,rank
2017-11-15 12:00:00.000000,42,277
2017-11-15 12:00:00.000000,21,11515
2017-11-15 12:00:00.000000,44,275
2017-11-15 12:00:00.000000,19,208
2017-11-15 12:00:00.000000,62,111
2017-11-15 12:00:00.000000,30,97
2017-11-15 12:00:00.000000,15,89
2017-11-15 12:00:00.000000,36,380
2017-11-15 12:00:00.000000,18,50
2017-11-15 12:00:00.000000,29,171
2017-11-15 12:00:00.000000,3,48
2017-11-15 12:00:00.000000,55,170
2017-11-15 12:00:00.000000,24,8163
2017-11-15 12:00:00.000000,28,10010
2017-11-15 12:00:00.000000,7,180
2017-11-15 12:00:00.000000,74,706
2017-11-15 12:00:00.000000,5,1359
2017-11-15 12:00:00.000000,27,83
2017-11-15 12:00:00.000000,26,15229
2017-11-15 12:00:00.000000,4,92
2017-11-15 12:00:00.000000,48,264
2017-11-15 12:00:00.000000,50,1455
2017-11-15 12:00:00.000000,49,31
2017-11-15 12:00:00.000000,39,844
2017-11-15 12:00:00.000000,34,29557
2017-11-15 12:00:00.000000,72,250
2017-11-15 12:00:00.000000,52,356
2017-11-15 12:00:00.000000,70,1100
2017-11-15 12:00:00.000000,68,104
2017-11-15 12:00:00.000000,11,179
2017-11-15 12:00:00.000000,17,240
2017-11-15 12:00:00.000000,38,335
2017-11-15 12:00:00.000000,56,5238
2017-11-15 12:00:00.000000,9,2392
2017-11-15 12:00:00.000000,41,3350
2017-11-15 12:00:00.000000,37,55
2017-11-15 12:00:00.000000,43,393
2017-11-15 12:00:00.000000,13,1362
2017-11-15 12:00:00.000000,75,16442
2017-11-15 12:00:00.000000,8,183
2017-11-15 12:00:00.000000,2,665
2017-11-15 12:00:00.000000,59,4687
2017-11-15 12:00:00.000000,57,2209
2017-11-15 12:00:00.000000,63,279
2017-11-15 12:00:00.000000,46,949
2017-11-15 12:00:00.000000,31,150
2017-11-15 12:00:00.000000,1,201
2017-11-15 12:00:00.000000,32,602
2017-11-15 12:00:00.000000,25,5058
2017-11-15 12:00:00.000000,54,975
2017-11-15 12:00:00.000000,47,327
2017-11-15 12:00:00.000000,20,3358
2017-11-15 12:00:00.000000,73,56
2017-11-15 12:00:00.000000,64,268
2017-11-15 12:00:00.000000,12,314
2017-11-15 12:00:00.000000,22,1318
2017-11-15 12:00:00.000000,76,657
2017-11-15 12:00:00.000000,58,2851
2017-11-15 12:00:00.000000,40,1173
2017-11-15 12:00:00.000000,45,2457
2017-11-15 12:00:00.000000,69,70
2017-11-15 12:00:00.000000,35,206
2017-11-15 12:00:00.000000,14,160
2017-11-15 12:00:00.000000,33,1400
2017-11-15 12:00:00.000000,66,697
2017-11-15 12:00:00.000000,61,5235
2017-11-15 12:00:00.000000,10,27
2017-11-15 12:00:00.000000,0,391
2017-11-15 12:00:00.000000,53,269
2017-11-15 12:00:00.000000,60,1804
2017-11-15 12:00:00.000000,23,1381
2017-11-15 12:00:00.000000,65,147
2018-03-02 05:04:22.252590,52,335
2018-03-02 05:04:22.252590,34,34240
2018-03-02 05:04:22.252590,59,5522
2018-03-02 05:04:22.252590,31,157
2018-03-02 05:04:22.252590,22,1036
2018-03-02 05:04:22.252590,7,143
2018-03-02 05:04:22.252590,6,8538
2018-03-02 05:04:22.252590,73,57
2018-03-02 05:04:22.252590,66,780
2018-03-02 05:04:22.252590,44,317
2018-03-02 05:04:22.252590,55,155
2018-03-02 05:04:22.252590,56,4820
2018-03-02 05:04:22.252590,32,684
2018-03-02 05:04:22.252590,37,66
2018-03-02 05:04:22.252590,18,54
2018-03-02 05:04:22.252590,10,24
2018-03-02 05:04:22.252590,46,1088
2018-03-02 05:04:22.252590,75,17709
2018-03-02 05:04:22.252590,30,109
2018-03-02 05:04:22.252590,4,100
2018-03-02 05:04:22.252590,45,2903
2018-03-02 05:04:22.252590,0,482
2018-03-02 05:04:22.252590,17,193
2018-03-02 05:04:22.252590,27,80
2018-03-02 05:04:22.252590,13,1050
2018-03-02 05:04:22.252590,49,30
2018-03-02 05:04:22.252590,2,687
2018-03-02 05:04:22.252590,61,6430
2018-03-02 05:04:22.252590,23,1696
2018-03-02 05:04:22.252590,60,1533
2018-03-02 05:04:22.252590,35,196
2018-03-02 05:04:22.252590,65,130
2018-03-02 05:04:22.252590,53,375
2018-03-02 05:04:22.252590,33,1302
2018-03-02 05:04:22.252590,14,165
2018-03-02 05:04:22.252590,47,512
2018-03-02 05:04:22.252590,11,220
2018-03-02 05:04:22.252590,63,300
2018-03-02 05:04:22.252590,1,229
2018-03-02 05:04:22.252590,25,4892
2018-03-02 05:04:22.252590,54,996
2018-03-02 05:04:22.252590,40,1210
2018-03-02 05:04:22.252590,20,2786
2018-03-02 05:04:22.252590,64,245
2018-03-02 05:04:22.252590,12,346
2018-03-02 05:04:22.252590,76,1062
2018-03-02 05:04:22.252590,58,7359
2018-03-02 05:04:22.252590,42,249
2018-03-02 05:04:22.252590,57,1943
2018-03-02 05:04:22.252590,69,78
2018-03-02 05:04:22.252590,5,1355
2018-03-02 05:04:22.252590,28,10424
2018-03-02 05:04:22.252590,39,1006
2018-03-02 05:04:22.252590,72,237
2018-03-02 05:04:22.252590,70,998
2018-03-02 05:04:22.252590,68,110
2018-03-02 05:04:22.252590,8,171
2018-03-02 05:04:22.252590,38,394
2018-03-02 05:04:22.252590,9,1996
2018-03-02 05:04:22.252590,41,3591
2018-03-02 05:04:22.252590,43,431
2018-03-02 05:04:22.252590,74,4166
2018-03-02 05:04:22.252590,71,1262
2018-03-02 05:04:22.252590,48,183
2018-03-02 05:04:22.252590,26,12708
2018-03-02 05:04:22.252590,21,10288
2018-03-02 05:04:22.252590,19,209
2018-03-02 05:04:22.252590,62,92
2018-03-02 05:04:22.252590,15,84
2018-03-02 05:04:22.252590,36,321
2018-03-02 05:04:22.252590,29,162
2018-03-02 05:04:22.252590,3,61
2018-03-02 05:04:22.252590,24,9515
2018-03-02 05:04:22.252590,50,1642
2018-03-02 05:04:22.252590,16,172
2018-03-04 03:34:24.925354,0,476
2018-03-04 03:34:24.925354,1,233
2018-03-04 03:34:24.925354,2,686
2018-03-04 03:34:24.925354,3,62
2018-03-04 03:34:24.925354,4,100
2018-03-04 03:34:24.925354,5,1358
2018-03-04 03:34:24.925354,6,7960
2018-03-04 03:34:24.925354,7,145
2018-03-04 03:34:24.925354,8,175
2018-03-04 03:34:24.925354,9,1988
2018-03-04 03:34:24.925354,10,24
2018-03-04 03:34:24.925354,11,223
2018-03-04 03:34:24.925354,12,340
2018-03-04 03:34:24.925354,13,1035
2018-03-04 03:34:24.925354,14,165
2018-03-04 03:34:24.925354,15,83
2018-03-04 03:34:24.925354,16,174
2018-03-04 03:34:24.925354,17,197
2018-03-04 03:34:24.925354,18,55
2018-03-04 03:34:24.925354,19,209
